frame,shoulder_angle,shoulder_distance,shoulder_ratio,right_ear_angle,right_ear_distance,left_ear_angle,left_ear_distance,right_nose_eye_angle,right_nose_eye_distance,left_nose_eye_angle,left_nose_eye_distance,nose_angle,nose_distance,eyes_angle,eyes_distance
openpose/output2/Trial 1_000000064445_keypoints.json,-171.14514890281197,63.404690686099876,1.260267033157403,-1,-1,89.9300138515568,45.02703359094394,-1,-1,107.63025598730158,51.338316392339976,-107.85636189583283,121.44208128980661,-1,-1
openpose/output2/Trial 1_000000055614_keypoints.json,-155.4859133179279,75.38858036201505,1.0121342388106285,-1,-1,70.88493420763913,41.506553554830326,-1,-1,90.09004338645512,50.90506286215544,-114.21635320136268,128.8789507250893,-1,-1
openpose/output2/Trial 1_000000058180_keypoints.json,-149.2429843090785,95.77074986132247,0.9278851397735464,-1,-1,101.22372676372827,49.92279151850392,-1,-1,115.67339744272525,58.6833185496526,-93.82597545117271,117.85466032363759,-1,-1
openpose/output2/Trial 1_000000058225_keypoints.json,-143.6760777430878,82.75855734001165,0.9778465793437434,-67.94395775383072,10.529586744027533,104.77535622487862,38.524896184156006,-122.46757048385055,25.479574034901034,128.64397346620552,50.29310698296532,-84.91262311777531,110.1890759830574,-73.73798531302735,63.311000031590105
openpose/output2/Trial 1_000000055381_keypoints.json,-133.26233592577697,91.43347650067786,1.1339871309521545,-1,-1,75.18672619120925,38.4871519341195,-1,-1,95.30985064415484,41.25704211404393,-113.24752169547655,119.31215895289131,-1,-1
openpose/output2/Trial 1_000000058318_keypoints.json,-143.15493228305232,88.1476082772528,1.0567387632122913,-1,-1,106.21682360433728,48.973574037433686,-1,-1,119.99407749964463,58.77652349365348,-90.98676970333867,111.66255972795891,-1,-1
openpose/output2/Trial 1_000000002503_keypoints.json,-1,-1,-1,-1,-1,99.5926884072004,35.693085324751586,-1,-1,123.75142083212027,42.4773012796246,-1,-1,-1,-1
openpose/output2/Trial 1_000000055598_keypoints.json,-155.56839484325465,71.03366335055509,1.0365433815924987,-1,-1,70.88879565312148,41.50240919512991,-1,-1,90.0619451497496,49.02202865039354,-114.2334399821235,128.91050129838146,-1,-1
openpose/output2/Trial 1_000000058054_keypoints.json,-154.01335288652135,89.3551461584614,0.964564822791545,-1,-1,93.55618109425512,62.77888339242744,-1,-1,106.42653335726398,69.48725279502703,-92.69764074374567,123.57294182789362,-1,-1
openpose/output2/Trial 1_000000055617_keypoints.json,-154.08044531831916,76.29679799310058,0.8998725533353717,-1,-1,70.90831470909673,41.4943385053913,-1,-1,90.10468568890523,50.90008496063634,-114.16930522362284,124.49859798808974,-1,-1
openpose/output2/Trial 1_000000058059_keypoints.json,-157.75327863309067,93.18120684451345,1.105312760108843,-1,-1,95.94226535803958,57.06764043659076,-1,-1,109.44926363014562,70.59752693968824,-91.94178009385537,115.65941470541867,-1,-1
openpose/output2/Trial 1_000000058056_keypoints.json,-160.02329688075233,91.73451817609343,1.0432209424811536,-1,-1,96.0883629420867,55.175215450417625,-1,-1,107.4977916118898,71.84643963342936,-92.72271433713506,123.50942712602954,-1,-1
openpose/output2/Trial 1_000000046314_keypoints.json,-130.59399908119502,90.29426677259201,1.0136371161665172,-1,-1,105.47133783891348,50.967870830553615,-1,-1,122.49815380027027,58.186495589612484,-97.00732182361915,128.372872200477,-1,-1
openpose/output2/Trial 1_000000058060_keypoints.json,-156.644893590388,93.87565222676218,1.0045776724598123,-1,-1,95.37504322770621,62.98394913785574,-1,-1,108.92242355587545,72.5158649193402,-90.9214245207404,119.51845503101177,-1,-1
openpose/output2/Trial 1_000000058191_keypoints.json,-149.67944316973228,93.00817121092108,0.9416714165856139,-1,-1,115.3297792355946,41.21986504102113,-1,-1,131.98891038331215,52.67368835576256,-89.98613861495403,111.60400326601184,-1,-1
openpose/output2/Trial 1_000000063776_keypoints.json,-122.15724090175182,80.98719648191312,1.130223508187898,-1,-1,94.81890014972721,70.7801936702634,-1,-1,109.25291396104592,89.20397760750352,-104.07993955690499,104.94689322223881,-1,-1
openpose/output2/Trial 1_000000055407_keypoints.json,-161.5646010817929,80.50969186377498,1.003822897144121,-1,-1,74.14506134784692,42.719188627594555,-1,-1,92.54652722817636,45.03647482874305,-113.11446502412416,115.0064388632219,-1,-1
openpose/output2/Trial 1_000000058240_keypoints.json,-147.67951969243555,88.08492986317239,1.0078605633083277,-1,-1,120.12460988147474,27.24941718642803,-1,-1,115.47441246398915,45.628077857827854,-84.28998596164188,118.1381785029717,-1,-1
openpose/output2/Trial 1_000000058238_keypoints.json,-145.23256531274114,85.87861196479595,1.0439339199716982,-1,-1,115.026061109753,32.47047551237885,-1,-1,122.96698827668624,46.789914052068944,-84.1120283711749,114.32614186178074,-1,-1
openpose/output2/Trial 1_000000058212_keypoints.json,-148.142664814803,85.36848625224644,0.923494067197945,-1,-1,112.15106507932347,46.55617376889986,-1,-1,124.15108310039439,59.18482124666755,-83.27756624454656,116.38516057040941,-1,-1
openpose/output2/Trial 1_000000058262_keypoints.json,-157.3143083723184,91.32544488804857,1.3166062107356429,-1,-1,137.33844995179288,34.66012533156801,-1,-1,131.59037214828155,47.1768217666261,-85.90298739831594,109.97203249008362,-1,-1
openpose/output2/Trial 1_000000058057_keypoints.json,-158.86257271556525,92.42770461825828,1.0200118696998017,-1,-1,96.69402047456359,51.21514283881281,-1,-1,111.22261292967242,65.09250842454912,-91.03161457862386,109.75278949074598,-1,-1
openpose/output2/Trial 1_000000055279_keypoints.json,-133.06828547129496,83.15351524740248,1.2282306647236165,-1,-1,76.81553505394625,34.17995694848078,-1,-1,99.51890398582866,35.79181417586986,-113.56545769193156,117.48476866811289,-1,-1
openpose/output2/Trial 1_000000058255_keypoints.json,-156.1583469523509,92.05108190564624,1.193791468964135,-1,-1,113.67346373697414,34.15739032771681,-1,-1,124.44953335517927,45.07140895290499,-86.03158276624256,113.86200121638468,-1,-1
openpose/output2/Trial 1_000000058257_keypoints.json,-158.40519189441778,90.58518891077057,1.3019797920425216,-1,-1,130.80241740159818,38.902595607491264,-1,-1,134.91148165211752,49.88856427078254,-83.98292781081948,112.28259792149447,-1,-1
openpose/output2/Trial 1_000000058213_keypoints.json,-150.11191963568623,90.42210006408827,0.9003632386205357,-1,-1,110.0582557644628,45.85751585073042,-1,-1,123.7650509313475,56.584460773254676,-84.19059592595401,116.20280495753964,-1,-1
openpose/output2/Trial 1_000000058190_keypoints.json,-150.708571690443,92.13861516758315,0.9652259851772994,-1,-1,116.52871698813907,39.49209891864453,-1,-1,133.43757391344002,51.24469588162277,-89.98562561673812,111.60700351232441,-1,-1
openpose/output2/Trial 1_000000058319_keypoints.json,-123.00719163150994,93.480556149394,0.9996346478725552,-1,-1,99.16032213333821,49.561064768626565,-1,-1,118.31591309539559,57.86022808458329,-92.06323246535555,109.79818185197783,-1,-1
openpose/output2/Trial 1_000000058052_keypoints.json,-160.74874207881777,89.22955788302443,1.022936437064952,-1,-1,94.18613181416845,55.0298099033606,-1,-1,107.97994872100523,70.04571013987936,-92.66634112637887,125.51688763668415,-1,-1
openpose/output2/Trial 1_000000058268_keypoints.json,-157.77771301158995,93.1303959671599,1.263199556031244,-1,-1,113.69920427769927,34.204530460159845,-1,-1,122.27917646947509,44.03186066929264,-84.20016117219538,116.1365035636943,-1,-1
openpose/output2/Trial 1_000000064344_keypoints.json,-162.65768905539844,65.6535487311996,1.1200755677647518,-1,-1,89.9897963975055,44.92200071234586,-1,-1,106.37916630200749,48.933905474629746,-107.8364604423684,121.40013776763193,-1,-1
openpose/output2/Trial 1_000000055527_keypoints.json,-172.12580929650525,57.372953767432975,1.2414204636357686,-1,-1,76.61767300414745,50.36556018749313,-1,-1,93.63317441715336,60.86632882801462,-116.16926974247694,124.49873821850572,-1,-1
openpose/output2/Trial 1_000000058228_keypoints.json,-144.46137441315634,84.32836210907928,1.073048423853026,-1,-1,111.19469114220053,37.791305799085606,-1,-1,125.49820575251637,50.62190626596352,-86.03560856945268,113.91958560756787,-1,-1
openpose/output2/Trial 1_000000064163_keypoints.json,-129.4296849765389,71.04048693526818,1.1412555022637172,-1,-1,92.4958298415541,43.21799686473219,-1,-1,109.75757822125695,52.005495248098605,-106.95613227309991,120.74498669510061,-1,-1
openpose/output2/Trial 1_000000055526_keypoints.json,-164.57893754480725,58.92960006652009,1.0468091971427265,-1,-1,77.16670568987816,52.2296738071376,-1,-1,93.58373176947596,62.80882160970706,-115.35669758613628,123.55100090650826,-1,-1
openpose/output2/Trial 1_000000058271_keypoints.json,-153.97426708598726,93.69271564001122,1.227005601127122,-1,-1,117.97027244936734,33.3359354001054,-1,-1,121.3561433440065,41.39472672937945,-84.88043536523831,110.1705084040189,-1,-1
openpose/output2/Trial 1_000000058192_keypoints.json,-149.4839008993187,88.72338507969584,0.9570066452100771,-1,-1,121.3925553904891,41.317052714345444,-1,-1,137.95509980702974,52.71065676881672,-88.98402370796178,111.66755527009623,-1,-1
openpose/output2/Trial 1_000000055278_keypoints.json,-134.0742374182052,84.46644524306686,1.25776235992521,-1,-1,76.86804559304147,34.17776881248978,-1,-1,99.55207009079213,35.78921024554748,-113.5377452374814,117.43491516580588,-1,-1
openpose/output2/Trial 1_000000055529_keypoints.json,-174.67032906230662,62.98028075516967,1.1969146407745643,-1,-1,76.11458435399062,48.462181296347,-1,-1,93.75793889217745,58.863565411891216,-114.98986022665747,125.35214647145055,-1,-1
openpose/output2/Trial 1_000000058048_keypoints.json,-162.3218546492713,90.4272096716469,1.0043531819453952,-1,-1,101.76371573936143,48.03897725805586,-1,-1,113.56202425851649,68.43671390416112,-91.86748428972727,121.57857393471927,-1,-1
openpose/output2/Trial 1_000000058186_keypoints.json,-153.44559167215658,96.30297731638412,0.9657746218817469,-1,-1,115.1099992724978,36.879286001765294,-1,-1,131.5917635307384,47.26742355999532,-91.97187809707235,113.72034109164466,-1,-1
openpose/output2/Trial 1_000000058232_keypoints.json,-149.67830889348357,93.03473450813945,1.0259450114280229,-1,-1,112.39414912972174,36.025894936836735,-1,-1,124.95107295760894,47.91606803568089,-86.16943577642861,117.878343430844,-1,-1
openpose/output2/Trial 1_000000055595_keypoints.json,-159.09633796386862,71.30090647390114,1.0652246529702907,-1,-1,70.87914240351046,41.47308102854181,-1,-1,90.0643128747474,48.9990308679672,-114.58970728354731,127.10834443497407,-1,-1
openpose/output2/Trial 1_000000058256_keypoints.json,-158.39242988700886,90.62114350415132,1.203317935744939,-1,-1,113.75569321593427,34.18002365417552,-1,-1,124.41518028320338,45.08076686348619,-85.08285251177327,114.00557609169815,-1,-1
openpose/output2/Trial 1_000000064065_keypoints.json,-116.54665561106825,91.93236192440604,0.9102431610349583,-1,-1,104.46826832656022,62.7231934534587,-1,-1,116.57742659499445,74.53843334146488,-104.05203712135439,88.86626906762767,-1,-1
openpose/output2/Trial 1_000000058237_keypoints.json,-144.48636396445667,84.21979421727413,1.1535444250370177,-1,-1,111.25850984813283,37.804439858302324,-1,-1,124.28300075647797,52.18177751859357,-86.04071467665341,113.935923154201,-1,-1
openpose/output2/Trial 1_000000055602_keypoints.json,-161.0073658110738,66.27815477214193,1.130591016141848,-1,-1,73.29325214433395,40.95684387254473,-1,-1,90.09582006730264,49.03206856741824,-114.30730503881068,133.25055476057125,-1,-1
openpose/output2/Trial 1_000000055592_keypoints.json,-155.44696274680646,75.42077168128156,0.9704955991070519,-1,-1,70.85626546357814,41.48941143231601,-1,-1,90.0338931423807,49.02400857743071,-114.15447138550297,124.57291110430072,-1,-1
openpose/output2/Trial 1_000000058051_keypoints.json,-163.8747237192536,91.70497428711273,1.125738623133568,-1,-1,96.4077148754476,53.22449872004437,-1,-1,110.57366954408359,66.96708523595755,-93.56123287377632,125.66967002821328,-1,-1
openpose/output2/Trial 1_000000055601_keypoints.json,-161.006210932043,66.33572398037126,0.9824287225360422,-1,-1,70.92201173300518,41.504662159810465,-1,-1,90.08531194675292,49.02705434757419,-113.89511576455884,130.730072060716,-1,-1
openpose/output2/Trial 1_000000058196_keypoints.json,-150.5692321793082,87.71570564613837,0.944884193827038,-1,-1,106.84994881064043,47.194179980162815,-1,-1,119.18764045218592,56.179228590289554,-88.0012021914386,111.70196404719123,-1,-1
openpose/output2/Trial 1_000000055599_keypoints.json,-161.04141124904254,66.33122785686994,1.0879845371181835,-1,-1,70.90520304511656,41.49088566179322,-1,-1,90.07715496535779,49.01204443807659,-114.64564796959314,131.49241075058288,-1,-1
openpose/output2/Trial 1_000000055251_keypoints.json,-174.26187242880323,59.01068737949086,1.2265113570946022,-1,-1,77.19120083195045,44.258355064326594,-1,-1,94.08154016017961,55.07468225055871,-113.76320875866143,126.34577040803545,-1,-1
openpose/output2/Trial 1_000000064444_keypoints.json,-171.0861238049309,63.37542504788431,1.2604401594816592,-1,-1,89.91979665485356,45.00604409409915,-1,-1,107.60683376118538,51.3085706778117,-107.87982658895918,121.41818727027673,-1,-1
openpose/output2/Trial 1_000000027439_keypoints.json,-112.74657682857296,131.7217836578292,0.9164006646147903,-1,-1,89.95400617096507,82.2180264905452,-1,-1,97.28415726128284,92.75154774449862,-106.07995781107701,105.97932442226652,-1,-1
